"Sgroup_contrast","uniprotname","LogFC","fscore"
"4_T01 vs DMSO","AKT1",0.0734798591411474,0.789886049811375
"4_T01 vs DMSO","AKT2",0.0230760772519053,0.978971266508803
"4_T01 vs DMSO","AKT3",0.0394171718266405,0.587385463574682
"4_T01 vs DMSO","ARAF",-0.0922930353895071,0.637985181205954
"4_T01 vs DMSO","ATR",0.103979982149079,0.67651995240919
"4_T01 vs DMSO","AURKA",0.0130458075874004,-0.078784446517751
"4_T01 vs DMSO","AURKB",0.0542726149015999,0.552315181219396
"4_T01 vs DMSO","BRAF",-0.107592058837018,0.685273535312858
"4_T01 vs DMSO","CAMK2A",-0.00628880657350232,-0.503196362691099
"4_T01 vs DMSO","CAMK2B",0.0888893246005675,0.537115443412676
"4_T01 vs DMSO","CAMK2D",0.00327292726902506,0.077598470875258
"4_T01 vs DMSO","CAMK2G",0.0410657960740846,0.0943662056699017
"4_T01 vs DMSO","CAMK4",0.0481801264868886,0.641725183241492
"4_T01 vs DMSO","CDK1",-0.0896481597454731,1.38125010102372
"4_T01 vs DMSO","CDK10",-0.005639832574001,0.294073388384495
"4_T01 vs DMSO","CDK11A",-0.00810366204909494,0.00412186704077036
"4_T01 vs DMSO","CDK13",-0.136853782127575,1.51088198830573
"4_T01 vs DMSO","CDK15",-0.0887326591484176,-0.0435206390259479
"4_T01 vs DMSO","CDK17",-0.0320868690012562,0.220865319422646
"4_T01 vs DMSO","CDK18",-0.154045647666594,1.04433823860602
"4_T01 vs DMSO","CDK19",-0.21153297639393,1.03149711785765
"4_T01 vs DMSO","CDK2",-0.0674136587446733,2.13890669254173
"4_T01 vs DMSO","CDK3",-0.121183901265278,1.1329909719023
"4_T01 vs DMSO","CDK4",-0.0483379137773145,0.490598235788552
"4_T01 vs DMSO","CDK5",-0.174178365462374,1.46655871145276
"4_T01 vs DMSO","CDK6",-0.0237154244654854,0.378815963938629
"4_T01 vs DMSO","CDK7",-0.0822020366807893,0.611713699277257
"4_T01 vs DMSO","CDK9",-0.228278152741645,1.54030572406291
"4_T01 vs DMSO","CDKL1",-0.133378080929844,0.410635476562184
"4_T01 vs DMSO","CDKL2",-0.105438119477925,0.584762991631832
"4_T01 vs DMSO","CDKL4",-0.144916885692607,0.911733353176399
"4_T01 vs DMSO","CDKL5",-0.0895055807752659,0.755197080537352
"4_T01 vs DMSO","CHEK1",-0.146767915135278,1.44253842375617
"4_T01 vs DMSO","CHEK2",-0.0648577586934528,0.0156727694472066
"4_T01 vs DMSO","CHUK",0.0859768849811504,0.310216928117772
"4_T01 vs DMSO","CILK1",-0.138972815513788,0.775110714767205
"4_T01 vs DMSO","COQ8A",0.0362297174020341,0.106031921463037
"4_T01 vs DMSO","CSNK1A1",-0.0375967890136129,0.211372707952326
"4_T01 vs DMSO","CSNK2A1",-0.156211427341336,0.584011375027948
"4_T01 vs DMSO","DAPK1",0.079793387630401,0.0651094637745136
"4_T01 vs DMSO","DAPK2",-0.145697909362903,0.649809725272766
"4_T01 vs DMSO","DAPK3",-0.126171882068666,0.537750495290558
"4_T01 vs DMSO","DCLK1",-0.201629620941419,1.11574803289782
"4_T01 vs DMSO","DCLK2",-0.0412610461561672,0.589955813569639
"4_T01 vs DMSO","DCLK3",-0.236863173624059,1.91767028742823
"4_T01 vs DMSO","DYRK1A",0.14084904331112,0.349309542787386
"4_T01 vs DMSO","GRK2",0.08755830143389,0.00101000481589905
"4_T01 vs DMSO","GRK3",0.0606341891352554,0.26911767701402
"4_T01 vs DMSO","GSK3A",-0.135860820804541,0.277156654298654
"4_T01 vs DMSO","GSK3B",0.0938796687352673,0.0860319485008666
"4_T01 vs DMSO","IKBKB",0.0717320358904611,0.333343851983224
"4_T01 vs DMSO","IKBKE",0.0162091786367752,0.314384400176856
